标准音：A4 = 440 Hz

时刻	低音（相对于 A1）	和弦图（低音）	和弦图（和弦）	注释
0	18/9	1	(1, 3, 9)
3840	18/10	9/5	(1, 5/3, 3, 5)
5760	18/11	9/11	(1, 3, 11/3, 11)
7680	18/12	3	(1, 3)
9600	18/13	9/13	(1, 3, 13/3, 13)
11520	18/14	9/7	(1, 7/3, 3, 7)
15360	4/3	1/3	(1, 3, 5, 15)
16800	4/3	1/3	(3/5, 1, 3, 27)
19200	5/4	5	(3/5, 1, 9/5, 3)
20640	5/6	5/3	(1, 7/5, 3, 9)
23040	10/9	5/9	(3/5, 1, 9/5, 3)
24480	4/3	1/3	(1, 3, 9, 27)
26880	1/1	1	(1, 3, 7, 9)
27600	15/16	15	(1/5, 3/5, 13/15, 1)
28320	7/8	7	(1/7, 5/7, 1, 25/7)
30720	4/3	1/3	(1, 3, 5, 15)
32160	4/3	1/3	(3/5, 1, 3, 27)
34560	5/4	5	(3/5, 1, 9/5, 3)
36000	5/6	5/3	(1, 7/5, 3, 9)
38400	10/9	5/9	(3/5, 1, 9/5, 3)
39840	4/3	1/3	(1, 3, 9, 27)
42240	8/7	1/7	(1, 7/3, 3, 7, 9)
42960	16/15	1/15	(1, 3, 5, 9, 15)
43680	1/1	1	(1, 3, 5, 9, 15)
46080	16/12	1/3	(1, 5, 9, 27)
48240	15/12	5	(3/5, 1, 9/5, 3)
49920	14/12	7/3	(1, 9/7, 3, 27/7)
52080	13/12	13/3	(1/13, 3/13, 1, 3)
53760	12/12	1	(1, 3, 9, 27)
55920	11/12	11/3	(1, 27/11, 3, 81/11)
57600	10/12	5/3	(1, 9/5, 3, 9)
59280	10/12	5/3	(3/5, 1, 9/5, 3)
61440	16/12	1/3	(1, 5, 9, 27)
63600	15/12	5	(3/5, 1, 9/5, 3)
65280	14/12	7/3	(1, 9/7, 3, 27/7)
67440	13/12	13/3	(1/13, 3/13, 1, 3)
69120	12/12	1	(1, 3, 9, 27)
71280	11/12	11/3	(1, 27/11, 3, 81/11)
72960	11/9	11/9	(1, 27/11, 3, 81/11)
73680	7/6	7/3	(1, 9/7, 3, 27/7)
74400	9/8	9	(1/9, 1, 7/3, 3)
75120	3/2	3	(1/3, 1, 3, 7)
75840	3/4	3	(1, 3, 5, 7)
76800	7/9	7/9	(1, 9/7, 3, 9)
78480	4/3	1/3	(1, 7/3, 3, 7)
80640	8/7	1/7	(1, 7/3, 3, 7)
82080	1/1	1	(1, 3, 7, 9)
82800	1/1	1	(1, 3, 7, 9, 21)
83520	7/8	7	(1, 9/7, 3, 9, 27)
84480	3/4	3	(1/3, 1, 3, 11/3, 9)
86160	1/1	1	(1, 3, 11/3, 9, 11)
88560	12/11	3/11	(1, 3, 11/3, 9, 11)
90000	10/9	5/9	(1, 9/5, 3, 27/5, 9)
92160	4/3	1/3	(1, 3, 5, 15)
93600	4/3	1/3	(3/5, 1, 3, 27)
96000	5/4	5	(3/5, 1, 9/5, 3)
97440	5/6	5/3	(1, 7/5, 3, 9)
99840	10/9	5/9	(3/5, 1, 9/5, 3)
101280	4/3	1/3	(1, 3, 9, 27)
103680	1/1	1	(1, 3, 7, 9)
104400	15/16	15	(1/5, 3/5, 13/15, 1)
105120	7/8	7	(1/7, 5/7, 1, 25/7)
107520	4/3	1/3	(1, 3, 5, 15)
108960	4/3	1/3	(3/5, 1, 3, 27)
111360	5/4	5	(3/5, 1, 9/5, 3)
112800	5/6	5/3	(1, 7/5, 3, 9)
115200	10/9	5/9	(3/5, 1, 9/5, 3)
116640	4/3	1/3	(1, 3, 9, 27)
119040	8/7	1/7	(1, 7/3, 3, 7, 9)
119760	16/15	1/15	(1, 3, 5, 9, 15)
120480	1/1	1	(1, 3, 5, 9, 15)
122880	1/1	1	(1, 3, 9, 11)
124800	27/22	27/11	(1, 3, 9, 11)
126720	12/11	3/11	(1, 3, 9, 11)
128160	1/1	1	(1, 3, 9, 11)
129600	4/3	1/3	(1, 11/9, 3, 11/3)
130080	8/9	1/9	(1, 11/3, 9, 11)
131520	1/1	1	(1, 3, 9, 11)
133440	11/9	11/9	(1, 3, 9, 11)
134640	11/8	11	(1, 11/9, 3, 11/3)
135360	11/6	11/3	(1, 3, 9, 11)
136080	9/8	9	(1, 11/9, 3, 11/3)
136800	3/2	3	(1, 3, 9, 11)
137520	81/88	81/11	(1, 11/9, 3, 11/3)
138240	27/22	27/11	(1, 3, 9, 11)
142080		3/11	(1, 3, 5, 15)
143520		3/11	(1, 3, 9, 27)
145920	4/3	1/3	(1, 3, 5, 15)
147360	4/3	1/3	(3/5, 1, 3, 27)
149760	5/4	5	(3/5, 1, 9/5, 3)
151200	5/6	5/3	(1, 7/5, 3, 9)
153600	10/9	5/9	(3/5, 1, 9/5, 3)
155040	4/3	1/3	(1, 3, 9, 27)
157440	1/1	1	(1, 3, 7, 9)
158160	15/16	15	(1/5, 3/5, 13/15, 1)
158880	7/8	7	(1/7, 5/7, 1, 25/7)
161280	4/3	1/3	(1, 3, 5, 15)
162720	9/7	9/7	(1, 7/3, 3, 7)
165120	5/4	5	(3/5, 1, 9/5, 3)
165840	6/5	3/5	(1, 3, 5, 15)
166560	7/6	7/3	(3/7, 1, 9/7, 3)
168960	10/9	5/9	(3/5, 1, 9/5, 3)
170400	4/3	1/3	(1, 3, 9, 27)
173040		1/7	(1, 7/3, 3, 7, 9)
173760		1/15	(1, 3, 5, 9, 15)
174480		1	(1, 3, 5, 9, 15)
