内蒙古胡都木文（GB/T 25914-2023）	内蒙古胡都木文（GB/T 25914-2010）	喀尔喀西里尔文	汉译	注释
《ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ᠎ᠡ》	︽ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ᠎ᠡ︾	«Хан гарди дэвнэ»	《凤凰飞》
ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ ᠨᠢᠰᠦᠨ᠎ᠡ	ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ ᠨᠢᠰᠦᠨ᠎ᠡ	Хан гарди дэвэн ниснэ	凤凰振翅飞翔
ᠨᠣᠭᠣᠭᠠᠨ ᠲᠠᠯ᠎ᠠ᠎ᠶᠢᠨ ᠴᠠᠭᠠᠨ ᠭᠡᠷ᠎ᠦᠳ	ᠨᠣᠭᠣᠭᠠᠨ ᠲᠠᠯ᠎ᠠ ᠶᠢᠨ ᠴᠠᠭᠠᠨ ᠭᠡᠷ ᠦᠳ	Ногоон талын цагаан гэрүүд	绿草原的白毡包
ᠨᠣᠮᠢᠨ ᠴᠡᠩᠭᠡᠭ ᠠᠶᠠᠯᠭᠤᠲᠤ ᠰᠠᠯᠬᠢ	ᠨᠣᠮᠢᠨ ᠴᠡᠩᠭᠡᠭ ᠠᠶᠠᠯᠭᠤᠲᠤ ᠰᠠᠯᠬᠢ	Номин цэнгэг аялгуут салхи	纯净的青金石悦耳的风
ᠨᠠᠷᠠ᠎ᠲᠠᠢ ᠠᠭᠤᠯᠠ ᠤᠰᠤᠨ	ᠨᠠᠷᠠ ᠲᠠᠶ ᠠᠭᠤᠯᠠ ᠤᠰᠤᠨ	Нартай уул усан	太阳伴山水
ᠳᠣᠮᠣᠭᠲᠤ ᠬᠦᠯᠦᠭ᠎ᠦᠨ ᠲᠦᠪᠡᠷᠭᠡᠨ	ᠳᠣᠮᠣᠭᠲᠤ ᠬᠦᠯᠦᠭ ᠦᠨ ᠲᠦᠪᠡᠷᠭᠡᠨ	Домогт хүлгийн төвөргөөн	传奇良马的马蹄声
ᠣᠮᠣᠭᠲᠤ ᠡᠷᠡᠰ᠎ᠦᠨ ᠤᠤᠬᠠᠢ᠎ᠶᠢᠨ ᠳᠠᠭᠤᠨ	ᠣᠮᠣᠭᠲᠤ ᠡᠷᠡᠰ ᠦᠨ ᠤᠸᠬᠠᠶ ᠶᠢᠨ ᠳᠠᠭᠤᠨ	Омогт эрсийн уухайн дуун	威武汉子们的呼喊声
ᠠᠷᠢᠭᠤᠨ ᠬᠤᠷ᠎ᠠ᠎ᠶᠢᠨ ᠰᠣᠯᠣᠩᠭᠠᠨ ᠲᠠᠯ᠎ᠠ	ᠠᠷᠢᠭᠤᠨ ᠬᠤᠷ᠎ᠠ ᠶᠢᠨ ᠰᠣᠯᠣᠩᠭᠠᠨ ᠲᠠᠯ᠎ᠠ	Ариун хурын солонгон тал	圣雨后挂着彩虹的草原
ᠠᠶᠠᠯᠭᠤ ᠲᠦᠷᠡᠨ᠎ᠡ	ᠠᠶᠠᠯᠭᠤ ᠲᠦᠷᠡᠨ᠎ᠡ	Аялгуу түрнэ	歌声此唱彼和
ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ ᠨᠢᠰᠦᠨ᠎ᠡ	ᠬᠠᠨ ᠭᠠᠷᠤᠳᠢ ᠳᠡᠪᠢᠨ ᠨᠢᠰᠦᠨ᠎ᠡ	Хан гарди дэвэн ниснэ	凤凰振翅飞翔
ᠬᠠᠩᠭᠠᠢ ᠭᠣᠪᠢ ᠳᠣᠮᠣᠭ ᠶᠠᠷᠢᠨ᠎ᠠ	ᠬᠠᠩᠭᠠᠶ ᠭᠣᠪᠢ ᠳᠣᠮᠣᠭ ᠶᠠᠷᠢᠨ᠎ᠠ	Хангай говь домог ярина	讲述杭盖戈壁的传说
ᠬᠥᠬᠡ ᠲᠩᠷᠢ ᠴᠡᠩᠭᠡᠨ ᠴᠡᠩᠭᠡᠨ᠎ᠡ	ᠬᠥᠬᠡ ᠲᠩᠷᠢ ᠴᠡᠩᠭᠡᠨ ᠴᠡᠩᠭᠡᠨ᠎ᠡ	Хөх тэнгэр цэнгэн цэнгэнэ	在蓝天尽兴玩乐
ᠶᠡᠬᠡ ᠲᠡᠦᠬᠡ ᠶᠠᠷᠢᠨ᠎ᠠ	ᠶᠡᠬᠡ ᠲᠡᠸᠬᠡ ᠶᠠᠷᠢᠨ᠎ᠠ	Их түүх ярина	讲述宏大的历史
ᠳᠣᠮᠣᠭᠲᠤ ᠬᠦᠯᠦᠭ᠎ᠦᠨ ᠲᠦᠪᠡᠷᠭᠡᠨ	ᠳᠣᠮᠣᠭᠲᠤ ᠬᠦᠯᠦᠭ ᠦᠨ ᠲᠦᠪᠡᠷᠭᠡᠨ	Домогт хүлгийн төвөргөөн	传奇良马的马蹄声
ᠣᠮᠣᠭᠲᠤ ᠡᠷᠡᠰ᠎ᠦᠨ ᠤᠤᠬᠠᠢ᠎ᠶᠢᠨ ᠳᠠᠭᠤᠨ	ᠣᠮᠣᠭᠲᠤ ᠡᠷᠡᠰ ᠦᠨ ᠤᠸᠬᠠᠶ ᠶᠢᠨ ᠳᠠᠭᠤᠨ	Омогт эрсийн уухайн дуун	威武汉子们的呼喊声
ᠠᠷᠢᠭᠤᠨ ᠬᠤᠷ᠎ᠠ᠎ᠶᠢᠨ ᠰᠣᠯᠣᠩᠭᠠᠨ ᠲᠠᠯ᠎ᠠ	ᠠᠷᠢᠭᠤᠨ ᠬᠤᠷ᠎ᠠ ᠶᠢᠨ ᠰᠣᠯᠣᠩᠭᠠᠨ ᠲᠠᠯ᠎ᠠ	Ариун хурын солонгон тал	圣雨后挂着彩虹的草原
