GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
᠁	᠁	᠁
᠂	᠂	᠂
᠃	᠃	᠃
ᠠ	ᠠ	ᠠ
ᠠᠢ	ᠠᠶ	ᠠᠶ
ᠠᠨᠢᠨ	ᠠᠨᠢᠨ	ᠠᠨᠢᠨ
ᠠᠩᠭᠢᠵᠢᠷᠠᠭᠰᠠᠨ	ᠠᠩᠭᠢᠵᠢᠷᠠᠭᠰᠠᠨ	ᠠᠩᠭᠢᠵᠢᠷᠠᠭᠰᠠᠨ
ᠠᠭᠠᠷ᠎ᠲᠤ	ᠠᠭᠠᠷ ᠲᠤ	ᠠᠭᠠᠷ ᠲᠤ
ᠠᠭᠠᠷ᠎ᠲᠤᠷ	ᠠᠭᠠᠷ ᠲᠤᠷ	ᠠᠭᠠᠷ ᠲᠤᠷ
ᠠᠭᠤᠯᠠ	ᠠᠭᠤᠯᠠ	ᠠᠭᠤᠯᠠ
ᠠᠯᠳᠠᠵᠤ	ᠠᠯᠳᠠᠵᠤ	ᠠᠯᠳᠠᠵᠤ
ᠠᠯᠵᠢᠶᠠᠯ᠎ᠠ	ᠠᠯᠵᠢᠶᠠᠯ᠎ᠠ	ᠠᠯᠵᠢᠶᠠᠯ᠎ᠠ
ᠠᠯᠵᠢᠶᠠᠯᠤᠭ᠎ᠠ	ᠠᠯᠵᠢᠶᠠᠯᠤᠭ᠎ᠠ	ᠠᠯᠵᠢᠶᠠᠯᠤᠭ᠎ᠠ
ᠠᠰᠠᠭᠤᠭᠰᠠᠨ	ᠠᠰᠠᠭᠤᠭᠰᠠᠨ	ᠠᠰᠠᠭᠤᠭᠰᠠᠨ
ᠠᠶᠠᠯᠭᠤ	ᠠᠶᠠᠯᠭᠤ	ᠠᠶᠠᠯᠭᠤ
ᠠᠶᠠᠯᠭᠤᠲᠤ	ᠠᠶᠠᠯᠭᠤᠲᠤ	ᠠᠶᠠᠯᠭᠤᠲᠤ
ᠠᠶᠤᠭᠰᠠᠨ᠎ᠳᠤ᠎ᠪᠠᠨ	ᠠᠶᠤᠭᠰᠠᠨ ᠳᠤ ᠪᠠᠨ	ᠠᠶᠤᠭᠰᠠᠨ ᠳᠤ ᠪᠠᠨ
ᠠᠷᠢᠭᠤᠨ	ᠠᠷᠢᠭᠤᠨ	ᠠᠷᠢᠭᠤᠨ
ᠠᠷᠢᠯᠪᠠ	ᠠᠷᠢᠯᠪᠠ	ᠠᠷᠢᠯᠪᠠ
ᠠᠷᠢᠯᠪᠠᠢ	ᠠᠷᠢᠯᠪᠠᠶ	ᠠᠷᠢᠯᠪᠠᠶ
ᠠᠷᠴᠢᠭᠠᠳ᠎ᠦᠭᠡᠢ	ᠠᠷᠴᠢᠭᠠᠳ ᠦᠭᠡᠶ	ᠠᠷᠴᠢᠭᠠᠳ ᠦᠭᠡᠶ
ᠠᠷᠴᠢᠭᠠᠳᠤᠢ	ᠠᠷᠴᠢᠭᠠᠳᠤᠶ	ᠠᠷᠴᠢᠭᠠᠳᠤᠶ
ᠡ	ᠡ	ᠡ
ᠡᠨᠡ	ᠡᠨᠡ	ᠡᠨᠡ
